frame_idx,level,count,gpu_mem_mb
1380,P5,17,118
1381,P3,24,212
1382,P4,23,136
1383,P5,17,135
1384,P3,28,240
1385,P4,18,154
1386,P5,18,153
1387,P3,24,264
1388,P4,17,171
1389,P5,13,166
1390,P3,17,281
1391,P4,20,191
1392,P5,17,183
1393,P3,21,302
1394,P4,17,208
1395,P5,21,204
1396,P3,28,330
1397,P4,15,223
1398,P5,16,220
1399,P3,33,363
1400,P4,23,246
1401,P5,16,236
1402,P3,26,389
1403,P4,17,263
1404,P5,16,252
1405,P3,24,413
1406,P4,18,281
1407,P5,18,270
1408,P3,29,442
1409,P4,16,297
1410,P5,16,286
1411,P3,28,470
1412,P4,27,324
1413,P5,17,303
1414,P3,25,495
1415,P4,15,339
1416,P5,15,318
1417,P3,32,527
1418,P4,15,354
1419,P5,17,335
1420,P3,24,551
1421,P4,21,375
1422,P5,19,354
1423,P3,25,576
1424,P4,24,399
1425,P5,18,372
1426,P3,17,593
1427,P4,20,419
1428,P5,18,390
1429,P3,28,621
1430,P4,15,434
1431,P5,19,409
1432,P3,28,649
1433,P4,16,450
1434,P5,16,425
1435,P3,28,677
1436,P4,16,466
1437,P5,15,440
1438,P3,33,710
1439,P4,18,484
1440,P5,16,456
1441,P3,33,743
1442,P4,24,508
1443,P5,17,473
1444,P3,0,0
1445,P4,0,0
1446,P5,0,0
1447,P3,0,0
1448,P4,0,0
1449,P5,17,17
1450,P3,0,0
1451,P4,2,2
1452,P5,16,33
1453,P3,0,0
1454,P4,0,2
1455,P5,19,52
1456,P3,0,0
1457,P4,2,4
1458,P5,16,68
1459,P3,0,0
1460,P4,1,5
1461,P5,18,86
1462,P3,0,0
1463,P4,0,0
1464,P5,0,0
1465,P3,5,5
1466,P4,35,35
1467,P5,11,11
1468,P3,6,11
1469,P4,29,64
1470,P5,13,24
1471,P3,5,16
1472,P4,33,97
1473,P5,15,39
1474,P3,2,18
1475,P4,45,142
1476,P5,13,52
1477,P3,3,21
1478,P4,32,174
1479,P5,17,69
1480,P3,6,27
1481,P4,27,201
1482,P5,12,81
1483,P3,6,33
1484,P4,34,235
1485,P5,8,89
1486,P3,1,34
1487,P4,31,266
1488,P5,20,109
1489,P3,2,36
1490,P4,37,303
